Book Name,Book Category,Book Star Rating,Book Price,Book in Stock
It's Only the Himalayas,Travel,Two,£45.17,In stock
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,Four,£49.43,In stock
See America: A Celebration of Our National Parks & Treasured Sites,Travel,Three,£48.87,In stock
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,Two,£36.94,In stock
Under the Tuscan Sun,Travel,Three,£37.33,In stock
A Summer In Europe,Travel,Two,£44.34,In stock
The Great Railway Bazaar,Travel,One,£30.54,In stock
A Year in Provence (Provence #1),Travel,Four,£56.88,In stock
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,One,£23.21,In stock
Neither Here nor There: Travels in Europe,Travel,Three,£38.95,In stock
"1,000 Places to See Before You Die",Travel,Five,£26.08,In stock
Sharp Objects,Mystery,Four,£47.82,In stock
"In a Dark, Dark Wood",Mystery,One,£19.63,In stock
The Past Never Ends,Mystery,Four,£56.50,In stock
A Murder in Time,Mystery,One,£16.64,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,Four,£44.10,In stock
The Last Mile (Amos Decker #2),Mystery,Two,£54.21,In stock
That Darkness (Gardiner and Renner #1),Mystery,One,£13.92,In stock
Tastes Like Fear (DI Marnie Rome #3),Mystery,One,£10.69,In stock
A Time of Torment (Charlie Parker #14),Mystery,Five,£48.35,In stock
A Study in Scarlet (Sherlock Holmes #1),Mystery,Two,£16.73,In stock
Poisonous (Max Revere Novels #3),Mystery,Three,£26.80,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,Four,£54.36,In stock
Most Wanted,Mystery,Three,£35.28,In stock
Hide Away (Eve Duncan #20),Mystery,One,£11.84,In stock
Boar Island (Anna Pigeon #19),Mystery,Three,£59.48,In stock
The Widow,Mystery,Two,£27.26,In stock
Playing with Fire,Mystery,Three,£13.71,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,Five,£25.37,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,Five,£52.30,In stock
Delivering the Truth (Quaker Midwife Mystery #1),Mystery,Four,£20.89,In stock
Tipping the Velvet,Historical Fiction,One,£53.74,In stock
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,Three,£29.69,In stock
A Flight of Arrows (The Pathfinders #2),Historical Fiction,Five,£55.53,In stock
The House by the Lake,Historical Fiction,One,£36.95,In stock
Mrs. Houdini,Historical Fiction,Five,£30.25,In stock
The Marriage of Opposites,Historical Fiction,Four,£28.08,In stock
Glory over Everything: Beyond The Kitchen House,Historical Fiction,Three,£45.84,In stock
"Love, Lies and Spies",Historical Fiction,Two,£20.55,In stock
A Paris Apartment,Historical Fiction,Four,£39.01,In stock
Lilac Girls,Historical Fiction,Two,£17.28,In stock
The Constant Princess (The Tudor Court #1),Historical Fiction,Three,£16.62,In stock
The Invention of Wings,Historical Fiction,One,£37.34,In stock
World Without End (The Pillars of the Earth #2),Historical Fiction,Four,£32.97,In stock
The Passion of Dolssa,Historical Fiction,Five,£28.32,In stock
Girl With a Pearl Earring,Historical Fiction,One,£26.77,In stock
Voyager (Outlander #3),Historical Fiction,Five,£21.07,In stock
The Red Tent,Historical Fiction,Five,£35.66,In stock
The Last Painting of Sara de Vos,Historical Fiction,Two,£55.55,In stock
The Guernsey Literary and Potato Peel Pie Society,Historical Fiction,One,£49.53,In stock
Girl in the Blue Coat,Historical Fiction,Two,£46.83,In stock
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,£52.29,In stock
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,One,£16.28,In stock
This One Summer,Sequential Art,Four,£19.49,In stock
The Nameless City (The Nameless City #1),Sequential Art,Four,£38.16,In stock
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,Two,£51.04,In stock
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,Three,£50.40,In stock
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,Five,£13.61,In stock
"Pop Gun War, Volume 1: Gift",Sequential Art,One,£18.97,In stock
Patience,Sequential Art,Three,£10.16,In stock
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,Four,£15.44,In stock
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,One,£48.41,In stock
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,Two,£46.91,In stock
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,Three,£45.61,In stock
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,Two,£19.92,In stock
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,Two,£29.17,In stock
I am a Hero Omnibus Volume 1,Sequential Art,Three,£54.63,In stock
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,Two,£22.11,In stock
Danganronpa Volume 1,Sequential Art,Four,£51.99,In stock
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,Four,£36.72,In stock
Camp Midnight,Sequential Art,Four,£17.08,In stock
The Secret Garden,Classics,Four,£15.08,In stock
The Metamorphosis,Classics,One,£28.58,In stock
The Pilgrim's Progress,Classics,Two,£50.26,In stock
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,Two,£14.82,In stock
Little Women (Little Women #1),Classics,Four,£28.07,In stock
Gone with the Wind,Classics,Three,£32.49,In stock
Candide,Classics,Three,£58.63,In stock
Animal Farm,Classics,Three,£57.22,In stock
Wuthering Heights,Classics,Three,£17.73,In stock
The Picture of Dorian Gray,Classics,Two,£29.70,In stock
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,Four,£26.78,In stock
Beowulf,Classics,Two,£38.35,In stock
And Then There Were None,Classics,Two,£35.01,In stock
The Story of Hong Gildong,Classics,Four,£43.19,In stock
The Little Prince,Classics,Two,£45.42,In stock
Sense and Sensibility,Classics,One,£37.46,In stock
Of Mice and Men,Classics,Two,£47.11,In stock
Emma,Classics,Two,£32.93,In stock
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,One,£55.53,In stock
Sophie's World,Philosophy,Five,£15.94,In stock
The Death of Humanity: and the Case for Life,Philosophy,Four,£58.11,In stock
The Stranger,Philosophy,Four,£17.44,In stock
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,One,£54.21,In stock
Kierkegaard: A Christian Missionary to Christians,Philosophy,One,£47.13,In stock
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,Five,£29.93,In stock
Critique of Pure Reason,Philosophy,One,£20.75,In stock
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,One,£20.02,In stock
The Nicomachean Ethics,Philosophy,One,£36.34,In stock
Meditations,Philosophy,Two,£25.89,In stock
Beyond Good and Evil,Philosophy,One,£43.38,In stock
Chase Me (Paris Nights #2),Romance,Five,£25.27,In stock
Black Dust,Romance,Five,£34.53,In stock
Her Backup Boyfriend (The Sorensen Family #1),Romance,One,£33.97,In stock
First and First (Five Boroughs #3),Romance,Four,£15.97,In stock
Fifty Shades Darker (Fifty Shades #2),Romance,One,£21.96,In stock
The Wedding Dress,Romance,One,£24.12,In stock
Suddenly in Love (Lake Haven #1),Romance,Two,£55.99,In stock
Something More Than This,Romance,Four,£16.24,In stock
Doing It Over (Most Likely To #1),Romance,Three,£35.61,In stock
The Wedding Pact (The O'Malleys #2),Romance,Three,£32.61,In stock
Hold Your Breath (Search and Rescue #1),Romance,One,£28.82,In stock
Dirty (Dive Bar #1),Romance,Four,£40.83,In stock
Take Me Home Tonight (Rock Star Romance #3),Romance,Three,£53.98,In stock
Off the Hook (Fishing for Trouble #1),Romance,Three,£47.67,In stock
A Gentleman's Position (Society of Gentlemen #3),Romance,Five,£14.75,In stock
"Sit, Stay, Love",Romance,Three,£20.90,In stock
A Girl's Guide to Moving On (New Beginnings #2),Romance,One,£31.30,In stock
The Perfect Play (Play by Play #1),Romance,Three,£59.99,In stock
Dark Lover (Black Dagger Brotherhood #1),Romance,One,£12.87,In stock
Changing the Game (Play by Play #2),Romance,Three,£13.38,In stock
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,Four,£57.36,In stock
Will You Won't You Want Me?,Womens Fiction,Three,£13.86,In stock
Keep Me Posted,Womens Fiction,Four,£20.46,In stock
Grey (Fifty Shades #4),Womens Fiction,Four,£48.49,In stock
Meternity,Womens Fiction,Three,£43.58,In stock
Some Women,Womens Fiction,Five,£13.73,In stock
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,Five,£48.39,In stock
Can You Keep a Secret?,Womens Fiction,One,£21.94,In stock
Twenties Girl,Womens Fiction,Two,£42.80,In stock
The Undomestic Goddess,Womens Fiction,Four,£45.75,In stock
The Nanny Diaries (Nanny #1),Womens Fiction,Five,£52.53,In stock
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,One,£44.29,In stock
Something Borrowed (Darcy & Rachel #1),Womens Fiction,Five,£48.96,In stock
Something Blue (Darcy & Rachel #2),Womens Fiction,One,£54.62,In stock
I've Got Your Number,Womens Fiction,One,£19.69,In stock
The Edge of Reason (Bridget Jones #2),Womens Fiction,Four,£19.18,In stock
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,One,£29.82,In stock
Soumission,Fiction,One,£50.10,In stock
Private Paris (Private #10),Fiction,Five,£47.61,In stock
"We Love You, Charlie Freeman",Fiction,Five,£50.27,In stock
Thirst,Fiction,Five,£17.27,In stock
The Murder That Never Was (Forensic Instincts #5),Fiction,Three,£54.11,In stock
Tuesday Nights in 1980,Fiction,Two,£21.04,In stock
The Vacationers,Fiction,Four,£42.15,In stock
The Regional Office Is Under Attack!,Fiction,Five,£51.36,In stock
Finders Keepers (Bill Hodges Trilogy #2),Fiction,Five,£53.53,In stock
The Time Keeper,Fiction,Five,£27.88,In stock
The Testament of Mary,Fiction,Four,£52.67,In stock
The First Hostage (J.B. Collins #2),Fiction,Three,£25.85,In stock
Take Me with You,Fiction,Three,£45.21,In stock
Still Life with Bread Crumbs,Fiction,Three,£26.41,In stock
Shtum,Fiction,Four,£55.84,In stock
My Name Is Lucy Barton,Fiction,One,£41.56,In stock
My Mrs. Brown,Fiction,Three,£24.48,In stock
Mr. Mercedes (Bill Hodges Trilogy #1),Fiction,One,£28.90,In stock
I Am Pilgrim (Pilgrim #1),Fiction,Four,£10.60,In stock
Eligible (The Austen Project #4),Fiction,Three,£27.09,In stock
Birdsong: A Story in Pictures,Childrens,Three,£54.64,In stock
The Bear and the Piano,Childrens,One,£36.89,In stock
The Secret of Dreadwillow Carse,Childrens,One,£56.13,In stock
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,Childrens,Four,£58.08,In stock
Little Red,Childrens,Three,£13.47,In stock
Walt Disney's Alice in Wonderland,Childrens,Five,£12.96,In stock
Twenty Yawns,Childrens,Two,£22.08,In stock
Rain Fish,Childrens,Three,£23.57,In stock
Once Was a Time,Childrens,Two,£18.28,In stock
Luis Paints the World,Childrens,Three,£53.95,In stock
Nap-a-Roo,Childrens,One,£25.08,In stock
The Whale,Childrens,Four,£35.96,In stock
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",Childrens,Three,£52.87,In stock
Raymie Nightingale,Childrens,Two,£34.41,In stock
Playing from the Heart,Childrens,One,£32.38,In stock
Maybe Something Beautiful: How Art Transformed a Neighborhood,Childrens,One,£22.54,In stock
The Wild Robot,Childrens,Three,£56.07,In stock
The Thing About Jellyfish,Childrens,One,£48.77,In stock
The Lonely Ones,Childrens,Five,£43.59,In stock
The Day the Crayons Came Home (Crayons),Childrens,Five,£26.33,In stock
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,Two,£37.97,In stock
You Are What You Love: The Spiritual Power of Habit,Religion,Four,£21.87,In stock
God: The Most Unpleasant Character in All Fiction,Religion,Five,£30.03,In stock
The Book of Mormon,Religion,Three,£24.57,In stock
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion,One,£27.62,In stock
The Bhagavad Gita,Religion,Three,£57.49,In stock
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,Four,£28.42,In stock
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Nonfiction,Five,£40.30,In stock
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,Three,£31.05,In stock
Reasons to Stay Alive,Nonfiction,Two,£26.41,In stock
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,Five,£23.11,In stock
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,Four,£44.18,In stock
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,Three,£31.12,In stock
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,Three,£16.77,In stock
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,One,£37.13,In stock
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,One,£56.06,In stock
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,Four,£41.83,In stock
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,Two,£19.83,In stock
In the Country We Love: My Family Divided,Nonfiction,Four,£22.00,In stock
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,Two,£54.35,In stock
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,Five,£29.14,In stock
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,One,£30.81,In stock
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,Two,£43.54,In stock
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,Two,£38.21,In stock
The Genius of Birds,Nonfiction,One,£17.24,In stock
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,Five,£38.49,In stock
So You've Been Publicly Shamed,Nonfiction,Two,£12.23,In stock
Rip it Up and Start Again,Music,Five,£35.02,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,£57.25,In stock
How Music Works,Music,Two,£37.32,In stock
Love Is a Mix Tape (Music #1),Music,One,£18.03,In stock
Please Kill Me: The Uncensored Oral History of Punk,Music,Four,£31.19,In stock
Kill 'Em and Leave: Searching for James Brown and the American Soul,Music,Five,£45.05,In stock
"Chronicles, Vol. 1",Music,Two,£52.60,In stock
This Is Your Brain on Music: The Science of a Human Obsession,Music,One,£38.40,In stock
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Music,Three,£12.36,In stock
No One Here Gets Out Alive,Music,Five,£20.02,In stock
Life,Music,Five,£31.58,In stock
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,Two,£55.66,In stock
Forever Rockers (The Rocker #12),Music,Three,£28.80,In stock
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,£17.93,In stock
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,£22.60,In stock
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,£13.99,In stock
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,£22.50,In stock
Aladdin and His Wonderful Lamp,Default,Three,£53.13,In stock
Penny Maybe,Default,Three,£33.29,In stock
Maude (1883-1993):She Grew Up with the country,Default,Two,£18.02,In stock
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,Five,£20.59,In stock
Soul Reader,Default,Two,£39.58,In stock
Bossypants,Default,Two,£49.46,In stock
A World of Flavor: Your Gluten Free Passport,Default,One,£42.95,In stock
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,Five,£56.76,In stock
Tracing Numbers on a Train,Default,Three,£41.60,In stock
Thirteen Reasons Why,Default,One,£52.72,In stock
The Secret (The Secret #1),Default,Four,£27.37,In stock
The Psychopath Test: A Journey Through the Madness Industry,Default,Two,£36.00,In stock
The Kite Runner,Default,Four,£41.82,In stock
The Girl on the Train,Default,Two,£55.02,In stock
The Emerald Mystery,Default,Two,£23.15,In stock
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,Three,£32.00,In stock
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,£37.59,In stock
Join,Science Fiction,Five,£35.67,In stock
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,Four,£43.30,In stock
The Project,Science Fiction,One,£10.65,In stock
Soft Apocalypse,Science Fiction,Two,£26.12,In stock
Sleeping Giants (Themis Files #1),Science Fiction,One,£48.74,In stock
Arena,Science Fiction,Four,£21.36,In stock
Foundation (Foundation (Publication Order) #1),Science Fiction,One,£32.42,In stock
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),Science Fiction,One,£10.92,In stock
Ready Player One,Science Fiction,Four,£19.07,In stock
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",Science Fiction,Two,£33.26,In stock
Dune (Dune #1),Science Fiction,One,£54.86,In stock
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,One,£51.48,In stock
Three Wishes (River of Time: California #1),Science Fiction,Two,£44.18,In stock
The Last Girl (The Dominion Trilogy #1),Science Fiction,Two,£36.26,In stock
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,Four,£34.96,In stock
